"PAÍS","POBLACIÓN (año 2017)","USUARIOS INTERNET(marzo 2017)","CONTINENTE"
"Niue","1311","1100","Oceanía"
"Tokelau","1384","800","Oceanía"
"Norfolk","2169","700","Oceanía"
"Islas Malvinas","2932","2862","América"
"Santa Helena (UK)","3687","1217","África"
"Monserrat","5241","2862","América"
"San Bartolomé","7237","1540","América"
"Nauru","9322","300","Oceanía"
"Tuvalu","10544","4300","Oceanía"
"Islas Cook","11124","6000","Oceanía"
"Wallis & Futuna","15398","1300","Oceanía"
"Anguilla","16418","11557","América"
"Palau","20956","5400","Oceanía"
"Bonaire. S. E. y Saba","22303","20956","América"
"Islas Vírgenes (G.B.)","33454","14620","América"
"Islas Marianas","46050","15980","Oceanía"
"Islas Turks & Caicos","50280","14760","América"
"San Cristóbal y Nevis","51936","41230","América"
"Islas Caimán","56092","47003","América"
"Groenlandia","57733","52000","América"
"Islas Marshall","67182","4560","Oceanía"
"Samoa Americana","67242","3040","Oceanía"
"Bermuda","70196","67950","América"
"Dominica","73607","46269","América"
"Seychelles","90024","38854","África"
"Antigua y Barbuda","92436","81545","América"
"Kiribati","100743","7800","Oceanía"
"San Vicente y Las G.","102627","76000","América"
"Islas Vírgenes (U.S.)","103574","51860","América"
"Micronesia","106836","17000","Oceanía"
"Tonga","107916","8400","Oceanía"
"Granada","110694","47903","América"
"Aruba","112162","93969","América"
"Curasao","148406","138774","América"
"Santa Lucia","163922","142900","América"
"S. Tomé y Príncipe","183176","36928","África"
"Guam","183286","90000","Oceanía"
"Samoa","193161","9000","Oceanía"
"Mayotte (FR)","223426","18640","África"
"Vanuatu","224564","17000","Oceanía"
"Guyana Francesa","253511","71360","América"
"Nueva Caledonia","256275","85000","Oceanía"
"Barbados","290604","224588","América"
"Polinesia Francesa","294935","120000","Oceanía"
"Bahamas","324597","293875","América"
"Belice","347369","134432","América"
"Maldivas","394451","134860","Asia"
"Brunei Darussalem","408786","318900","Asia"
"Malta","409836","282648","Europa"
"Martinica","410508","303302","América"
"Guadalupe","468205","171140","América"
"Luxemburgo","509074","462697","Europa"
"Cabo Verde","523568","167542","África"
"Islas Solomon","571890","16200","Oceanía"
"Macao*","578025","366510","Asia"
"Suriname","579633","232317","América"
"Guinea Ecuatorial","685991","42024","África"
"Bután","716896","150548","Asia"
"Guayana","735222","295200","América"
