horas_estudio,nota
6,2.1
19,3.7
28,6
14,3.7
10,3.4
7,2.1
28,5.8
20,4.5
6,2.5
25,5.7
18,4.1
22,5.2
10,2.9
10,3.2
23,4.9
20,4.5
3,1.4
7,1.7
23,5.3
2,1.5
21,4.9
20,4.6
1,1
23,5
11,2.9
29,6
5,1.9
1,1.3
27,6.7
20,4.7
0,1.1
11,3
25,4.8
21,4.8
28,6.2
11,4
24,5.3
16,4.1
26,5.8
26,5.3
30,7
9,3
27,6.3
27,5.6
15,4.3
14,3
29,6.6
29,7
14,3.2
29,6.1
18,4.3
11,2.8
22,4.4
19,4.5
24,5
2,1.6
4,1.4
18,4.9
6,1.8
20,4.5
8,2.8
6,1.6
17,4.2
3,2.1
24,4.8
27,6
13,3.5
17,4.4
25,5.1
8,1.9
25,5.8
20,4.8
1,1.3
19,4.6
27,5.7
14,3.7
27,6.1
6,1.8
11,3.8
28,6.3
7,1.8
14,3.8
2,1
13,3.7
16,4.4
3,1.2
17,4.5
7,2.4
3,1.9
1,1.9
29,6.2
5,1.6
21,4.5
9,2.3
3,1.5
21,5
28,6.2
30,6.8
17,4.1
25,6.2
11,2.9
1,2.3
9,2.9
29,6
3,1.1
13,3.6
30,6.4
15,4
14,3.8
7,2.3
13,3
22,4.4
27,5.8
24,5.7
29,6.4
7,1.8
20,4.7
15,3.9
12,2.8
17,4.2
14,3.6
20,4.2
23,5.4
25,5.8
24,5.8
27,6.4
27,5.4
27,5.6
12,3.4
8,2.7
28,6.3
14,5.1
12,3.4
0,1.5
24,5.8
6,2.4
8,2.3
23,5.5
0,1
11,2.9
7,2.1
23,5.2
30,7
10,2.1
18,4.6
16,3.3
7,2.1
2,1.8
2,1.4
0,1
26,5.5
4,2
9,2.4
6,2.2
25,5.6
8,2.2
27,6.8
6,2.4
8,1.7
7,2.4
11,2.8
1,1.5
0,1
15,3.7
22,5.2
22,5.4
29,5.8
23,5.1
4,1.5
2,1.1
11,3.7
7,2.4
21,4.3
26,6.1
2,2.2
0,1.4
2,1
4,1.5
14,4.1
13,3.1
2,1.5
0,1.3
4,1.4
25,5.6
22,3.7
30,6.1
13,3.3
6,1.6
26,6.4
8,1.9
14,3.4
14,3.6
25,6.2
9,2.1
27,6.4
12,3.2
18,3.9
30,6.7
6,2.2
16,3.7
